HomeTeam,AwayTeam,Max,Min,Wind,Rain,Humidity,Cloud,FTR
Everton,Tottenham,9,8,56,2.7,0.77,0.8300000000000001,2
ManC,ManU,7,4,26,2.2,0.89,0.6,0
Everton,Chelsea,8,7,54,1.0,0.78,0.65,0
Arsenal,ManC,3,-1,14,0.2,0.86,0.66,0
ManU,Liverpool,2,-2,6,1.3,0.91,0.7000000000000001,2
Chelsea,Arsenal,0,-3,15,6.7,0.96,0.98,2
Tottenham,ManU,-1,-4,15,6.7,0.96,0.9500000000000001,1
Arsenal,Liverpool,10,5,29,8.8,0.85,0.44,1
ManC,Liverpool,8,0,22,0.9,0.93,0.9,1
ManU,Everton,2,0,20,5.9,0.98,1.0,2
ManC,Chelsea,4,-3,13,0.3,0.84,0.42,2
Tottenham,Arsenal,7,1,9,0.0,0.84,0.32,2
Liverpool,Tottenham,3,1,44,4.0,0.78,0.99,2
Everton,ManC,5,5,47,13.4,0.9,0.96,2
Tottenham,Everton,10,-1,9,0.0,0.72,0.25,1
ManU,ManC,8,-1,20,0.0,0.76,0.76,0
Arsenal,Everton,15,8,21,0.1,0.8,0.5,1
Liverpool,Chelsea,6,5,17,0.0,0.76,0.19,1
Tottenham,ManC,13,2,8,0.1,0.73,0.18,2
Arsenal,ManU,12,-1,12,0.2,0.73,0.38,1
Liverpool,Everton,10,8,19,0.0,0.8,0.07,1
ManU,Chelsea,17,4,11,0.5,0.86,0.71,0
Chelsea,Tottenham,15,10,16,2.8,0.84,0.67,1
Chelsea,Everton,19,7,9,0.0,0.76,0.31,2
ManU,Chelsea,24,13,5,0.0,0.81,0.43,1
Arsenal,Tottenham,21,10,11,0.0,0.63,0.33,2
Liverpool,ManU,17,15,36,0.1,0.71,0.66,2
Everton,Chelsea,15,14,31,12.5,0.77,0.67,2
ManC,ManU,21,12,9,0.0,0.89,0.43,2
Tottenham,Chelsea,19,11,16,0.0,0.75,0.39,1
ManC,Everton,16,10,11,0.4,0.87,0.5,2
Chelsea,ManC,15,11,24,2.4,0.8300000000000001,0.5700000000000001,2
Arsenal,Liverpool,14,8,16,0.7,0.89,0.66,2
Everton,Tottenham,11,10,58,0.7,0.72,0.65,1
ManU,Arsenal,8,2,11,0.0,0.85,0.06,2
Everton,Liverpool,10,8,23,1.0,0.75,0.59,1
ManC,Tottenham,6,1,11,0.0,0.92,0.23,2
Tottenham,ManU,7,2,9,0.0,0.9400000000000001,0.32,1
ManU,Everton,7,3,17,1.7,0.86,0.61,0
Arsenal,Everton,10,4,17,0.0,0.93,0.44,1
ManC,Arsenal,9,3,26,0.6,0.88,0.6,2
Tottenham,Liverpool,11,9,25,2.6,0.9500000000000001,0.79,0
Arsenal,Chelsea,10,3,29,8.1,0.92,0.79,1
ManC,Liverpool,4,0,13,0.1,0.93,0.38,2
Chelsea,Liverpool,6,1,15,0.0,0.91,0.22,2
ManU,Tottenham,8,2,24,4.5,0.96,0.85,0
Chelsea,ManU,7,3,11,0.4,0.9,0.45,2
Liverpool,Everton,8,7,45,3.6,0.8200000000000001,0.92,2
Tottenham,ManC,4,2,16,8.2,0.98,1.0,0
ManC,Chelsea,6,2,27,0.0,0.91,0.61,0
Liverpool,Arsenal,8,7,52,4.5,0.86,0.5700000000000001,2
Tottenham,Everton,7,3,30,1.0,0.8200000000000001,0.53,2
Arsenal,ManU,7,1,27,5.8,0.91,0.58,1
Chelsea,Everton,10,3,19,0.0,0.84,0.27,2
Chelsea,Tottenham,14,7,17,0.1,0.8200000000000001,0.36,2
ManU,Liverpool,10,6,25,0.1,0.92,0.8,0
Tottenham,Arsenal,16,6,15,0.0,0.8200000000000001,0.22,0
Chelsea,Arsenal,10,2,18,4.4,0.8,0.46,2
ManU,ManC,10,2,14,0.1,0.8,0.54,0
Arsenal,ManC,17,6,16,0.0,0.74,0.21,1
Liverpool,Tottenham,10,9,26,0.0,0.8,0.44,2
Everton,Arsenal,11,10,36,7.4,0.93,0.87,2
Liverpool,ManC,10,8,32,0.0,0.8200000000000001,0.3,2
Everton,ManU,11,9,37,0.6,0.9,0.3,2
Liverpool,Chelsea,10,10,15,6.1,0.93,0.54,0
Everton,ManC,8,8,12,0.0,0.61,0.33,0
Everton,Arsenal,14,14,22,14.7,0.71,0.35000000000000003,1
ManC,Liverpool,13,10,17,7.2,0.9400000000000001,0.96,2
Everton,Chelsea,16,15,32,0.2,0.85,0.6,0
Tottenham,Liverpool,20,10,11,0.4,0.77,0.35000000000000003,0
Arsenal,ManC,19,11,13,1.4,0.75,0.5700000000000001,1
ManC,Chelsea,17,5,8,0.0,0.8,0.13,1
Arsenal,Tottenham,22,13,5,0.0,0.74,0.35000000000000003,1
Liverpool,Everton,17,15,14,0.0,0.71,0.07,1
Chelsea,Arsenal,16,6,7,0.0,0.71,0.13,2
ManU,Everton,14,5,13,0.2,0.8300000000000001,0.35000000000000003,2
ManC,Tottenham,17,14,21,5.2,0.92,0.72,2
ManU,Chelsea,14,11,22,0.5,0.88,0.79,1
ManC,ManU,13,7,17,0.7,0.88,0.55,2
Liverpool,Chelsea,14,11,44,1.2,0.79,0.59,0
Arsenal,ManU,14,9,11,0.2,0.97,0.9400000000000001,0
Tottenham,Everton,10,5,12,0.0,0.9500000000000001,0.5700000000000001,2
Chelsea,Tottenham,7,3,20,0.0,0.86,0.42,2
ManC,Everton,6,0,12,0.1,0.88,0.49,2
ManU,Liverpool,7,2,23,0.8,0.93,0.9500000000000001,2
Liverpool,Arsenal,10,8,47,0.0,0.84,0.71,1
Tottenham,ManU,4,-1,15,0.0,0.87,0.13,1
Tottenham,Chelsea,9,3,27,0.4,0.9500000000000001,0.71,2
Everton,ManC,11,7,63,0.4,0.78,0.54,1
ManC,Arsenal,4,-1,11,1.3,0.84,0.55,0
Chelsea,ManC,4,0,25,1.6,0.85,0.72,1
Everton,Liverpool,7,6,27,0.1,0.87,0.73,1
Tottenham,Arsenal,5,0,17,0.1,0.91,0.45,2
Liverpool,Tottenham,6,5,16,0.0,0.88,0.28,2
Chelsea,Everton,6,2,6,0.0,0.8300000000000001,0.85,2
Arsenal,Everton,10,6,36,0.4,0.75,0.37,2
Liverpool,ManC,7,6,50,1.6,0.79,0.46,2
ManU,Tottenham,9,4,16,0.1,0.89,0.67,2
Liverpool,ManU,6,4,16,0.0,0.7000000000000001,0.46,0
Arsenal,Liverpool,9,5,15,0.6,0.84,0.74,2
ManU,ManC,11,2,29,5.0,0.8300000000000001,0.64,2
Chelsea,ManU,13,4,23,0.0,0.73,0.14,2
Arsenal,Chelsea,10,7,12,3.0,0.85,0.76,1
Everton,ManU,9,7,10,0.1,0.66,0.49,2
Tottenham,ManC,17,10,26,3.0,0.87,0.87,0
Chelsea,Liverpool,18,8,16,0.0,0.77,0.18,1
ManU,Arsenal,12,6,24,1.5,0.78,0.84,1
Everton,Tottenham,12,10,21,0.4,0.84,0.58,0
ManU,Tottenham,22,9,10,0.0,0.72,0.18,2
ManC,Chelsea,18,7,5,0.2,0.73,0.45,2
Everton,ManC,19,18,39,0.3,0.75,0.16,0
Arsenal,Liverpool,17,12,18,19.2,0.87,0.84,1
Tottenham,Everton,21,13,10,0.6,0.76,0.52,1
Everton,Chelsea,17,16,29,2.3,0.8300000000000001,0.53,2
ManU,Liverpool,16,8,23,10.7,0.84,0.71,2
Chelsea,Arsenal,19,11,11,0.7,0.78,0.56,2
Tottenham,ManC,18,10,9,0.0,0.71,0.04,2
Arsenal,ManU,19,9,12,0.0,0.76,0.06,2
Everton,Liverpool,14,13,9,0.3,0.74,0.5700000000000001,1
Everton,ManU,13,12,33,4.2,0.8,0.98,0
Tottenham,Liverpool,12,9,21,0.2,0.79,0.8300000000000001,1
Arsenal,Everton,15,9,14,0.1,0.8200000000000001,0.67,2
ManU,ManC,11,6,17,0.1,0.8300000000000001,0.54,1
Chelsea,Liverpool,18,10,11,0.0,0.85,0.11,0
Arsenal,Tottenham,16,10,23,0.3,0.89,0.59,1
ManC,Liverpool,3,0,23,0.5,0.74,0.22,0
Tottenham,Chelsea,12,8,38,1.4,0.81,0.73,1
Arsenal,ManC,13,8,30,0.6,0.8300000000000001,0.43,2
ManU,Chelsea,10,1,16,0.2,0.91,0.56,1
Everton,Tottenham,9,8,44,9.7,0.87,0.9500000000000001,1
Liverpool,Arsenal,7,6,33,0.8,0.75,0.7000000000000001,1
ManC,Everton,5,2,20,6.7,0.86,0.86,1
Chelsea,Everton,4,0,14,0.2,0.8200000000000001,0.3,1
Liverpool,ManU,6,4,21,0.1,0.56,0.24,0
Arsenal,Chelsea,13,9,24,0.1,0.9400000000000001,0.9,0
Chelsea,ManU,9,5,33,7.1,0.78,0.53,1
ManC,Tottenham,5,0,20,0.0,0.78,0.24,0
ManU,Arsenal,7,-1,14,0.0,0.77,0.2,2
Liverpool,ManC,6,5,30,0.9,0.75,0.79,2
Tottenham,Arsenal,6,0,21,0.7,0.81,0.52,1
Everton,Arsenal,7,6,27,0.2,0.8300000000000001,0.97,0
ManC,ManU,9,2,8,0.2,0.85,0.56,0
