HomeTeam,AwayTeam,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
Liverpool,Tottenham,1,0,0,1,15,9,10,6,6,11,7,4,2,2,0,0
Everton,Chelsea,2,1,0,2,10,8,7,7,13,12,2,4,0,3,0,0
ManU,Liverpool,2,0,0,1,11,9,6,6,10,11,4,3,1,1,0,0
Arsenal,Tottenham,2,2,2,1,21,8,13,4,15,12,7,5,3,3,0,1
Liverpool,Arsenal,0,1,1,1,12,10,4,7,11,9,12,0,0,1,0,0
Tottenham,ManU,0,0,1,0,18,6,9,5,8,10,7,3,1,2,0,0
Everton,Tottenham,2,1,0,2,9,21,5,9,13,11,0,8,2,2,0,0
Liverpool,Everton,2,1,0,2,15,5,10,3,6,7,4,4,1,4,0,0
Everton,Arsenal,0,0,1,0,7,12,2,8,11,11,4,6,2,1,0,0
ManC,Chelsea,2,0,0,1,20,6,10,5,8,7,11,4,1,2,0,0
Chelsea,Tottenham,1,0,0,1,10,19,5,7,9,11,6,5,1,2,0,0
Arsenal,ManC,2,0,0,1,12,7,7,2,13,14,7,6,2,4,0,1
Arsenal,Chelsea,1,0,0,1,13,13,8,7,11,11,7,7,3,4,0,0
ManU,Everton,1,1,1,1,20,17,11,10,8,11,5,2,1,2,0,0
ManC,ManU,2,1,0,2,12,4,5,2,11,14,8,8,3,2,0,0
Liverpool,Chelsea,2,3,0,2,23,9,13,5,15,13,7,4,2,4,0,0
Everton,ManU,2,0,0,1,16,12,7,7,12,11,6,8,1,2,0,0
Liverpool,ManC,1,1,0,2,15,11,8,5,10,7,4,4,1,0,0,0
Liverpool,Arsenal,0,0,1,0,17,11,8,7,12,7,10,2,2,2,0,0
Liverpool,ManU,0,0,0,1,13,8,8,4,14,7,7,3,1,2,1,0
ManC,Arsenal,1,1,0,2,14,10,10,4,11,7,9,4,1,0,0,0
Arsenal,Chelsea,0,1,1,1,14,10,5,5,14,13,6,5,2,3,0,0
ManU,Tottenham,0,0,2,0,15,10,8,6,5,7,9,5,0,0,0,0
Tottenham,Chelsea,0,0,1,0,23,11,16,7,7,8,7,4,3,2,0,0
